job starting
[worker: 615] [integral: 0] min_calculation: 107625000 / max_calculation: 107800000, total_calculations: 179200000
[worker: 695] [integral: 0] min_calculation: 121625000 / max_calculation: 121800000, total_calculations: 179200000
[worker: 194] [integral: 0] min_calculation: 33950000 / max_calculation: 34125000, total_calculations: 179200000
[worker: 819] [integral: 0] min_calculation: 143325000 / max_calculation: 143500000, total_calculations: 179200000
[worker: 983] [integral: 0] min_calculation: 172025000 / max_calculation: 172200000, total_calculations: 179200000
[worker: 268] [integral: 0] min_calculation: 46900000 / max_calculation: 47075000, total_calculations: 179200000
[worker: 691] [integral: 0] min_calculation: 120925000 / max_calculation: 121100000, total_calculations: 179200000
[worker: 563] [integral: 0] min_calculation: 98525000 / max_calculation: 98700000, total_calculations: 179200000
[worker: 823] [integral: 0] min_calculation: 144025000 / max_calculation: 144200000, total_calculations: 179200000
[worker: 951] [integral: 0] min_calculation: 166425000 / max_calculation: 166600000, total_calculations: 179200000
[worker: 68] [integral: 0] min_calculation: 11900000 / max_calculation: 12075000, total_calculations: 179200000
[worker: 727] [integral: 0] min_calculation: 127225000 / max_calculation: 127400000, total_calculations: 179200000
[worker: 923] [integral: 0] min_calculation: 161525000 / max_calculation: 161700000, total_calculations: 179200000
[worker: 595] [integral: 0] min_calculation: 104125000 / max_calculation: 104300000, total_calculations: 179200000
[worker: 795] [integral: 0] min_calculation: 139125000 / max_calculation: 139300000, total_calculations: 179200000
[worker: 995] [integral: 0] min_calculation: 174125000 / max_calculation: 174300000, total_calculations: 179200000
[worker: 567] [integral: 0] min_calculation: 99225000 / max_calculation: 99400000, total_calculations: 179200000
[worker: 743] [integral: 0] min_calculation: 130025000 / max_calculation: 130200000, total_calculations: 179200000
[worker: 146] [integral: 0] min_calculation: 25550000 / max_calculation: 25725000, total_calculations: 179200000
[worker: 811] [integral: 0] min_calculation: 141925000 / max_calculation: 142100000, total_calculations: 179200000
[worker: 967] [integral: 0] min_calculation: 169225000 / max_calculation: 169400000, total_calculations: 179200000
[worker: 276] [integral: 0] min_calculation: 48300000 / max_calculation: 48475000, total_calculations: 179200000
[worker: 683] [integral: 0] min_calculation: 119525000 / max_calculation: 119700000, total_calculations: 179200000
[worker: 555] [integral: 0] min_calculation: 97125000 / max_calculation: 97300000, total_calculations: 179200000
[worker: 871] [integral: 0] min_calculation: 152425000 / max_calculation: 152600000, total_calculations: 179200000
[worker: 999] [integral: 0] min_calculation: 174825000 / max_calculation: 175000000, total_calculations: 179200000
