job starting
[worker: 632] [integral: 0] min_calculation: 864062 / max_calculation: 865429, total_calculations: 1400000
[worker: 774] [integral: 0] min_calculation: 1058203 / max_calculation: 1059570, total_calculations: 1400000
[worker: 760] [integral: 0] min_calculation: 1039062 / max_calculation: 1040429, total_calculations: 1400000
[worker: 382] [integral: 0] min_calculation: 522265 / max_calculation: 523632, total_calculations: 1400000
[worker: 494] [integral: 0] min_calculation: 675390 / max_calculation: 676757, total_calculations: 1400000
[worker: 734] [integral: 0] min_calculation: 1003515 / max_calculation: 1004882, total_calculations: 1400000
[worker: 584] [integral: 0] min_calculation: 798437 / max_calculation: 799804, total_calculations: 1400000
[worker: 456] [integral: 0] min_calculation: 623437 / max_calculation: 624804, total_calculations: 1400000
[worker: 768] [integral: 0] min_calculation: 1050000 / max_calculation: 1051367, total_calculations: 1400000
[worker: 542] [integral: 0] min_calculation: 741015 / max_calculation: 742382, total_calculations: 1400000
[worker: 47] [integral: 0] min_calculation: 64257 / max_calculation: 65625, total_calculations: 1400000
[worker: 418] [integral: 0] min_calculation: 571484 / max_calculation: 572851, total_calculations: 1400000
[worker: 658] [integral: 0] min_calculation: 899609 / max_calculation: 900976, total_calculations: 1400000
[worker: 175] [integral: 0] min_calculation: 239257 / max_calculation: 240625, total_calculations: 1400000
[worker: 911] [integral: 0] min_calculation: 1245507 / max_calculation: 1246875, total_calculations: 1400000
[worker: 290] [integral: 0] min_calculation: 396484 / max_calculation: 397851, total_calculations: 1400000
[worker: 546] [integral: 0] min_calculation: 746484 / max_calculation: 747851, total_calculations: 1400000
[worker: 791] [integral: 0] min_calculation: 1081445 / max_calculation: 1082812, total_calculations: 1400000
[worker: 674] [integral: 0] min_calculation: 921484 / max_calculation: 922851, total_calculations: 1400000
[worker: 815] [integral: 0] min_calculation: 1114257 / max_calculation: 1115625, total_calculations: 1400000
[worker: 486] [integral: 0] min_calculation: 664453 / max_calculation: 665820, total_calculations: 1400000
[worker: 143] [integral: 0] min_calculation: 195507 / max_calculation: 196875, total_calculations: 1400000
[worker: 530] [integral: 0] min_calculation: 724609 / max_calculation: 725976, total_calculations: 1400000
[worker: 402] [integral: 0] min_calculation: 549609 / max_calculation: 550976, total_calculations: 1400000
[worker: 338] [integral: 0] min_calculation: 462109 / max_calculation: 463476, total_calculations: 1400000
[worker: 15] [integral: 0] min_calculation: 20507 / max_calculation: 21875, total_calculations: 1400000
[worker: 39] [integral: 0] min_calculation: 53320 / max_calculation: 54687, total_calculations: 1400000
[worker: 482] [integral: 0] min_calculation: 658984 / max_calculation: 660351, total_calculations: 1400000
